 ,Label,Area,Mean,Min,Max,X,Y
421,,20.291,255,255,255,2173.423,641.892
422,,40.581,255,255,255,5144.144,641.892
423,,40.581,255,255,255,6842.342,644.144
424,,40.581,255,255,255,2162.162,648.649
425,,40.581,255,255,255,5157.658,646.396
426,,1724.698,255,255,255,6147.668,675.119
427,,40.581,255,255,255,3644.144,650.901
428,,40.581,255,255,255,4990.991,650.901
429,,121.743,255,255,255,6243.243,655.405
430,,20.291,255,255,255,6853.604,650.901
431,,20.291,255,255,255,2150.901,655.405
432,,40.581,255,255,255,6864.865,657.658
433,,40.581,255,255,255,2139.640,662.162
434,,121.743,255,255,255,4414.414,664.414
435,,40.581,255,255,255,5324.324,664.414
436,,304.358,255,255,255,6235.586,673.123
437,,20.291,255,255,255,6876.126,664.414
438,,20.291,255,255,255,2128.378,668.919
439,,40.581,255,255,255,6887.387,671.171
440,,40.581,255,255,255,2117.117,675.676
441,,20.291,255,255,255,6799.550,673.423
442,,40.581,255,255,255,6900.901,680.180
443,,40.581,255,255,255,2103.604,684.685
444,,40.581,255,255,255,4090.090,682.432
445,,20.291,255,255,255,6912.162,686.937
446,,40.581,255,255,255,2090.090,693.694
447,,40.581,255,255,255,6923.423,693.694
448,,40.581,255,255,255,3135.135,695.946
449,,20.291,255,255,255,2078.829,700.450
450,,40.581,255,255,255,6936.937,702.703
451,,40.581,255,255,255,2067.568,707.207
452,,40.581,255,255,255,5166.667,704.955
453,,40.581,255,255,255,2815.315,709.459
454,,40.581,255,255,255,6950.450,711.712
455,,40.581,255,255,255,2054.054,716.216
456,,40.581,255,255,255,4837.838,713.964
457,,40.581,255,255,255,6189.189,716.216
458,,40.581,255,255,255,3004.505,718.468
459,,20.291,255,255,255,6961.712,718.468
460,,40.581,255,255,255,2040.541,725.225
461,,40.581,255,255,255,5351.351,722.973
462,,40.581,255,255,255,5779.279,722.973
463,,20.291,255,255,255,2069.820,727.477
464,,40.581,255,255,255,2027.027,734.234
465,,40.581,255,255,255,3504.505,731.982
466,,40.581,255,255,255,4630.631,731.982
467,,40.581,255,255,255,2013.514,743.243
468,,60.872,255,255,255,4042.793,740.991
469,,60.872,255,255,255,6159.910,740.991
470,,40.581,255,255,255,2268.018,765.766
471,,20.291,255,255,255,2425.676,763.514
